Restart? - 0
Model:	2dxyz
Jx:	0.225
Jy:	0.425
Jz:	0.25
Field:	0.05
Theta:	0
Dissipation:	1
N_sites (col x row):	9    (3 x 3 )
Reference:	
000
000
000

000
000
000

---------------------------


Number of iteration:	40000
Target walker number:	25000
Initial energy shift:	-4
Time step:	0.001
Random seed:	12345
Population control damping:	0.1
Importance sampling:	0.606531
Initiator:	10
Starting time:	Mon Jan 15 16:00:27 2018

---------------------------
Time 	 State number 	 Real Mx 	 Imag Mx 	 Real My 	 Imag My 	 Real Mz 	 Imag Mz 	 Div real 	 Div imag 	 Diag_det_nb 	 Det_nbr
117	39	0	0	1.46553	0	-239.556	0	240	0	2	39
118	40	0	0	1.46553	0	-240.556	0	241	0	2	40
119	40	0	0	1.46553	0	-242.556	0	243	0	2	40
120	40	0	0	1.46553	0	-243.556	0	244	0	2	40
121	40	0	0	1.46553	0	-245.556	0	246	0	2	40
122	40	0	0	1.46553	0	-246.556	0	247	0	2	40
123	40	0	0	1.46553	0	-246.556	0	247	0	2	40
124	40	0	0	1.46553	0	-246.556	0	247	0	2	40
125	41	0	-0.183191	1.64872	0	-248.111	0	249	0	3	41
126	41	0	-0.183191	1.64872	0	-250.111	0	251	0	3	41
127	42	0	-0.183191	1.64872	0	-251.111	0	252	0	3	42
128	43	0	0	1.83191	0	-251.111	0	252	0	3	43
129	43	0	0	1.83191	0	-252.111	0	253	0	3	43
130	43	0	0	1.83191	0	-252.111	0	253	0	3	43
131	43	0	0	1.83191	0	-253.111	0	254	0	3	43
132	43	0	2.77556e-17	1.83191	0	-256.111	0	257	0	3	43
133	43	0.183191	0	1.83191	-0.183191	-258.111	0	259	0	3	43
134	43	0.366383	2.77556e-17	1.83191	0	-258.111	0	259	0	3	43
135	43	0.366383	0	1.83191	0	-262.111	0	263	0	3	43
136	44	0.366383	0	1.83191	0	-263.889	0	265	0	4	44
137	45	0.366383	0	1.83191	0	-262.889	0	264	0	4	45
138	45	0.366383	0	1.83191	0	-263.889	0	265	0	4	45
139	45	0.366383	0	1.83191	0	-263.889	0	265	0	4	45
140	46	0.366383	0	1.83191	0	-265.444	0	267	0	5	46
141	47	0.366383	0	2.1983	0	-266.444	0	268	0	5	47
142	47	0.366383	0	2.1983	0	-268.444	0	270	0	5	47
143	47	0.366383	0	2.1983	0	-270.444	0	272	0	5	47
144	47	0.366383	0	2.1983	0	-272.444	0	274	0	5	47
145	48	0.366383	-0.183191	2.38149	0	-274.444	0	276	0	5	48
146	48	0.366383	-0.183191	2.38149	0	-276.444	0	278	0	5	48
147	48	0.366383	-0.183191	2.38149	0	-276.444	0	278	0	5	48
148	49	0.366383	-0.183191	2.38149	0	-277.444	0	279	0	5	49
149	50	0.366383	-0.366383	2.56468	0	-277.444	0	279	0	5	50
150	50	0.366383	-0.366383	2.56468	0	-278.444	0	280	0	5	50
151	51	0.366383	-0.366383	2.56468	0	-279.444	0	281	0	5	51
152	52	0.366383	-0.183191	2.74787	0	-279.444	0	281	0	5	52
153	52	0.366383	-0.183191	2.74787	0	-281.444	0	283	0	5	52
